METRIC,SIGNATURE,unique_gloss_pairs,unique_glosses,hyp_gloss_count,ref_gloss_count,total_count,self_scores_count,mean_self_score,std_self_score,mean_of_gloss_self_score_means,std_of_gloss_self_score_means,out_of_class_scores_count,mean_out_of_class_score,std_out_of_class_score,mean_of_out_of_class_score_means,std_of_out_of_class_score_means,mean_score_time,std_dev_of_score_time,mean_average_precision,mean_reciprocal_rank,precision@1,recall@1,match_count@1,precision@5,recall@5,match_count@5,precision@10,recall@10,match_count@10,mean_out_mean_in_ratio
untrimmed_zspeed1000.0_unnormalized_youtubeaslkeypoints_defaultdist1.0_nointerp_dtw_fillmasked10.0_dtaiDTWAggregatedDistanceMetricFast,"untrimmed_zspeed1000.0_unnormalized_youtubeaslkeypoints_defaultdist1.0_nointerp_dtw_fillmasked10.0_dtaiDTWAggregatedDistanceMetricFast|higher_is_better:no|pose_preprocessors:[add_z_offsets|speed:1.0,youtubeasl_keypoints,fill_masked_or_invalid|fill_val:10.0,reduce_poses_to_intersection]|distance_measure:{dtaiDTWAggregatedDistanceMeasureFast|default_distance:1.0|aggregation_strategy:mean|use_fast:yes}",6016,1088,169,1088,117398,33031,862.0196935672393,506.0119792723939,872.9253050544976,130.56752146996354,84367,1284.144896619878,1284.8442112430937,1336.7268307797567,196.97578392513685,0.009234401902573871,0.0019310861755125472,0.48488521575927734,0.7759908437728882,0.6391397849462366,0.05030969295545347,1486,0.5591397849462365,0.21817104225453368,6500,0.4672258064516129,0.3627053754140042,10863,1.4896932241835286
untrimmed_zspeed1000.0_unnormalized_youtubeaslkeypoints_defaultdist1.0_nointerp_padwithfirstframe_fillmasked10.0_AggregatedPowerDistanceMetric,"untrimmed_zspeed1000.0_unnormalized_youtubeaslkeypoints_defaultdist1.0_nointerp_padwithfirstframe_fillmasked10.0_AggregatedPowerDistanceMetric|higher_is_better:no|pose_preprocessors:[add_z_offsets|speed:1.0,youtubeasl_keypoints,padwithfirstframe,fill_masked_or_invalid|fill_val:10.0,reduce_poses_to_intersection]|distance_measure:{AggregatedPowerDistance|default_distance:1.0|aggregation_strategy:mean|power:2.0}",6016,1088,169,1088,117398,33031,108.58669226582313,52.300632075230055,108.64734902990115,16.137532740560175,84367,146.42523478950736,135.877547064953,151.03066748694923,19.180696170963433,0.005600172506249088,0.001832464252746521,0.3950392007827759,0.6431491374969482,0.4653763440860215,0.03655592689728313,1082,0.4037849462365592,0.1585063684738607,4694,0.35711827956989245,0.2789221128084606,8303,1.3484639022897433
untrimmed_zspeed1000.0_unnormalized_youtubeaslkeypoints_defaultdist1.0_nointerp_zeropad_fillmasked10.0_AggregatedPowerDistanceMetric,"untrimmed_zspeed1000.0_unnormalized_youtubeaslkeypoints_defaultdist1.0_nointerp_zeropad_fillmasked10.0_AggregatedPowerDistanceMetric|higher_is_better:no|pose_preprocessors:[add_z_offsets|speed:1.0,youtubeasl_keypoints,zero_pad_shorter_sequence,fill_masked_or_invalid|fill_val:10.0,reduce_poses_to_intersection]|distance_measure:{AggregatedPowerDistance|default_distance:1.0|aggregation_strategy:mean|power:2.0}",6016,1088,169,1088,117398,33031,157.00649789784046,68.60118580538752,156.50577055801944,12.260948513018361,84367,192.62249357972343,115.36470665229645,195.98241640898115,14.641396344574384,0.0056957485982268696,0.0010014665994013937,0.37187936902046204,0.6404255032539368,0.4533333333333333,0.0357890561450933,1054,0.3755698924731183,0.14654023279005804,4366,0.32679569892473115,0.254767353918058,7598,1.226844087083945
untrimmed_zspeed1000.0_unnormalized_youtubeaslkeypoints_defaultdist10.0_nointerp_dtw_fillmasked10.0_dtaiDTWAggregatedDistanceMetricFast,"untrimmed_zspeed1000.0_unnormalized_youtubeaslkeypoints_defaultdist10.0_nointerp_dtw_fillmasked10.0_dtaiDTWAggregatedDistanceMetricFast|higher_is_better:no|pose_preprocessors:[add_z_offsets|speed:1.0,youtubeasl_keypoints,fill_masked_or_invalid|fill_val:10.0,reduce_poses_to_intersection]|distance_measure:{dtaiDTWAggregatedDistanceMeasureFast|default_distance:10.0|aggregation_strategy:mean|use_fast:yes}",6016,1088,169,1088,117398,33031,862.0196935672393,506.0119792723939,872.9253050544976,130.56752146996354,84367,1284.144896619878,1284.8442112430935,1336.7268307797567,196.97578392513688,0.010659950056233238,0.0068596500159418435,0.48488521575927734,0.7759908437728882,0.6391397849462366,0.05030969295545347,1486,0.5591397849462365,0.21817104225453368,6500,0.4672258064516129,0.3627053754140042,10863,1.4896932241835286
untrimmed_zspeed1000.0_unnormalized_youtubeaslkeypoints_defaultdist10.0_nointerp_padwithfirstframe_fillmasked10.0_AggregatedPowerDistanceMetric,"untrimmed_zspeed1000.0_unnormalized_youtubeaslkeypoints_defaultdist10.0_nointerp_padwithfirstframe_fillmasked10.0_AggregatedPowerDistanceMetric|higher_is_better:no|pose_preprocessors:[add_z_offsets|speed:1.0,youtubeasl_keypoints,padwithfirstframe,fill_masked_or_invalid|fill_val:10.0,reduce_poses_to_intersection]|distance_measure:{AggregatedPowerDistance|default_distance:10.0|aggregation_strategy:mean|power:2.0}",6016,1088,169,1088,117398,33031,108.58217762490355,52.304825187997025,108.64122147618325,16.135737058207006,84367,146.36612637016688,135.88370127807917,150.95382466790184,19.090764157977564,0.0063383221990569606,0.0039006602690786134,0.3944677710533142,0.642663836479187,0.4645161290322581,0.036477725528759185,1080,0.4033548387096774,0.15831086505255085,4689,0.356258064516129,0.278140099123221,8283,1.3479756031030041
untrimmed_zspeed1000.0_unnormalized_youtubeaslkeypoints_defaultdist10.0_nointerp_zeropad_fillmasked10.0_AggregatedPowerDistanceMetric,"untrimmed_zspeed1000.0_unnormalized_youtubeaslkeypoints_defaultdist10.0_nointerp_zeropad_fillmasked10.0_AggregatedPowerDistanceMetric|higher_is_better:no|pose_preprocessors:[add_z_offsets|speed:1.0,youtubeasl_keypoints,zero_pad_shorter_sequence,fill_masked_or_invalid|fill_val:10.0,reduce_poses_to_intersection]|distance_measure:{AggregatedPowerDistance|default_distance:10.0|aggregation_strategy:mean|power:2.0}",6016,1088,169,1088,117398,33031,157.000362560893,68.61003632112696,156.49879619224103,12.260618932325226,84367,192.5545192570682,115.3845599928769,195.90593519114285,14.626756558796655,0.006620261640884048,0.004479097640716803,0.37140482664108276,0.6391996145248413,0.4511827956989247,0.035611599193442804,1049,0.3750537634408602,0.146329690644032,4360,0.32623655913978494,0.2543131844316304,7585,1.2264590738278418
untrimmed_zspeed4.0_normalizedbyshoulders_hands_defaultdist0.0_nointerp_dtw_fillmasked0.0_dtaiDTWAggregatedDistanceMetricFast,"untrimmed_zspeed4.0_normalizedbyshoulders_hands_defaultdist0.0_nointerp_dtw_fillmasked0.0_dtaiDTWAggregatedDistanceMetricFast|higher_is_better:no|pose_preprocessors:[add_z_offsets|speed:1.0,normalize_poses|scale_factor:1,get_hands_only,fill_masked_or_invalid|fill_val:0.0,reduce_poses_to_intersection]|distance_measure:{dtaiDTWAggregatedDistanceMeasureFast|default_distance:0.0|aggregation_strategy:mean|use_fast:yes}",6016,1088,169,1088,117398,33031,1.8577703715400444,1.172086194795101,1.868111808636419,0.5102197322145235,84367,2.557192864389181,1.0862371808006996,2.5605861090709316,0.5056686057577583,0.0076934123408718925,0.0017016607208839639,0.5892229080200195,0.8917067646980286,0.8283870967741935,0.0651125795743293,1926,0.7052903225806452,0.2760141455523958,8199,0.5710537634408601,0.4421248174797561,13277,1.376484900159826
untrimmed_zspeed4.0_normalizedbyshoulders_hands_defaultdist0.0_nointerp_dtw_fillmasked1.0_dtaiDTWAggregatedDistanceMetricFast,"untrimmed_zspeed4.0_normalizedbyshoulders_hands_defaultdist0.0_nointerp_dtw_fillmasked1.0_dtaiDTWAggregatedDistanceMetricFast|higher_is_better:no|pose_preprocessors:[add_z_offsets|speed:1.0,normalize_poses|scale_factor:1,get_hands_only,fill_masked_or_invalid|fill_val:1.0,reduce_poses_to_intersection]|distance_measure:{dtaiDTWAggregatedDistanceMeasureFast|default_distance:0.0|aggregation_strategy:mean|use_fast:yes}",6016,1088,169,1088,117398,33031,4.2948429029487745,3.323261952538568,4.351010514747624,1.2365141469436385,84367,5.755547179247204,2.6814639867120147,5.826331657737148,0.7116314546579109,0.00773952780611432,0.001702893113148849,0.5485211610794067,0.8400424718856812,0.7423655913978494,0.05848956065000207,1726,0.6458494623655914,0.25324438195380966,7508,0.532989247311828,0.4147327521877607,12392,1.3401065671797987
untrimmed_zspeed4.0_normalizedbyshoulders_hands_defaultdist0.0_nointerp_dtw_fillmasked10.0_dtaiDTWAggregatedDistanceMetricFast,"untrimmed_zspeed4.0_normalizedbyshoulders_hands_defaultdist0.0_nointerp_dtw_fillmasked10.0_dtaiDTWAggregatedDistanceMetricFast|higher_is_better:no|pose_preprocessors:[add_z_offsets|speed:1.0,normalize_poses|scale_factor:1,get_hands_only,fill_masked_or_invalid|fill_val:10.0,reduce_poses_to_intersection]|distance_measure:{dtaiDTWAggregatedDistanceMeasureFast|default_distance:0.0|aggregation_strategy:mean|use_fast:yes}",6016,1088,169,1088,117398,33031,33.29234663223169,31.457434623125426,33.83043256032828,12.81027042832283,84367,44.19020126224031,28.045195331733986,45.12977683303867,8.24170937550575,0.007853816504456436,0.0018874783834746344,0.4469890892505646,0.7192082405090332,0.578494623655914,0.04561296367373467,1345,0.46907526881720424,0.18436514011231878,5453,0.4153978494623656,0.32617264202852936,9658,1.3273381342082373
untrimmed_zspeed4.0_normalizedbyshoulders_hands_defaultdist0.0_nointerp_dtw_fillmasked100.0_dtaiDTWAggregatedDistanceMetricFast,"untrimmed_zspeed4.0_normalizedbyshoulders_hands_defaultdist0.0_nointerp_dtw_fillmasked100.0_dtaiDTWAggregatedDistanceMetricFast|higher_is_better:no|pose_preprocessors:[add_z_offsets|speed:1.0,normalize_poses|scale_factor:1,get_hands_only,fill_masked_or_invalid|fill_val:100.0,reduce_poses_to_intersection]|distance_measure:{dtaiDTWAggregatedDistanceMeasureFast|default_distance:0.0|aggregation_strategy:mean|use_fast:yes}",6016,1088,169,1088,117398,33031,327.830164046721,314.9093886377559,333.11860376688145,127.73068055473031,84367,433.2932338839676,280.4007745808568,442.8729989748792,73.67896640051433,0.007676225348382592,0.0017347398761378137,0.44143587350845337,0.7150089740753174,0.5754838709677419,0.0454695778327557,1338,0.45978494623655913,0.18074930002658954,5345,0.4076989247311828,0.32027386125568486,9479,1.321700323531597
